title,company,scraped_at,score,priority
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:50:05.804103,30,Medium
SQL Data Engineer,Intone Networks,2026-05-16T10:50:05.823378,30,Medium
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:50:05.839212,30,Medium
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:50:05.855936,30,Medium
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:50:05.876270,0,Low
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:50:05.891718,15,Low
"Senior Data Engineer - Fort Gordon, Georgia (APOGEE)",Celestar Corporation,2026-05-16T10:50:05.906832,50,Medium
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:50:05.921543,20,Low
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:50:05.933800,20,Low
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:50:05.946612,45,Medium
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:50:05.959031,0,Low
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:50:05.978062,0,Low
"Engineer I, Data Platforms",AARP,2026-05-16T10:50:05.991482,20,Low
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:50:06.004135,30,Medium
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:50:06.018248,40,Medium
Senior Data and Software Engineer (10_2025.4),Affinity Solutions,2026-05-16T10:50:06.030814,20,Low
